municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-74.9450732 6.466165211),6.466165211,-74.9450732,1182.0,Medio (1.000-1.800 m)
POINT (-75.32740163 6.310387522),6.310387522,-75.32740163,2315.0,Muy alto (>2.200 m)
POINT (-75.58330371 5.878984956),5.878984956,-75.58330371,1446.0,Medio (1.000-1.800 m)
POINT (-75.43814333 6.675827825),6.675827825,-75.43814333,2547.0,Muy alto (>2.200 m)
POINT (-75.14260097 6.481044132),6.481044132,-75.14260097,1901.0,Alto (1.800-2.200 m)
POINT (-75.25212278 6.124209495),6.124209495,-75.25212278,2171.0,Alto (1.800-2.200 m)
POINT (-74.62163926 7.26692339),7.26692339,-74.62163926,296.0,Bajo (<1.000 m)
POINT (-74.83637623 5.826388779),5.826388779,-74.83637623,381.0,Bajo (<1.000 m)
POINT (-75.74580903 6.520164552),6.520164552,-75.74580903,736.0,Bajo (<1.000 m)
POINT (-75.70979974 5.673758571),5.673758571,-75.70979974,1542.0,Medio (1.000-1.800 m)
POINT (-75.40189438 7.488875998),7.488875998,-75.40189438,330.0,Bajo (<1.000 m)
POINT (-75.82871144 5.871064557),5.871064557,-75.82871144,1265.0,Medio (1.000-1.800 m)
POINT (-75.79966005 6.058349971),6.058349971,-75.79966005,1678.0,Medio (1.000-1.800 m)
POINT (-75.71363382 7.016397069),7.016397069,-75.71363382,2081.0,Alto (1.800-2.200 m)
POINT (-76.5740377 8.173851745),8.173851745,-76.5740377,319.0,Bajo (<1.000 m)
POINT (-76.13318514 6.913916924),6.913916924,-76.13318514,805.0,Bajo (<1.000 m)
POINT (-76.25906482 6.33534134),6.33534134,-76.25906482,2055.0,Alto (1.800-2.200 m)
POINT (-75.40094502 7.265404213),7.265404213,-75.40094502,800.0,Bajo (<1.000 m)
POINT (-75.63083412 5.651937802),5.651937802,-75.63083412,844.0,Bajo (<1.000 m)
POINT (-74.7540302 6.836535122),6.836535122,-74.7540302,811.0,Bajo (<1.000 m)
POINT (-75.77722423 5.956576355),5.956576355,-75.77722423,1208.0,Medio (1.000-1.800 m)
POINT (-76.69504802 6.453351334),6.453351334,-76.69504802,27.0,Bajo (<1.000 m)
POINT (-74.75565002 6.716870679),6.716870679,-74.75565002,959.0,Bajo (<1.000 m)
POINT (-75.45439957 6.9881309),6.9881309,-75.45439957,2444.0,Muy alto (>2.200 m)
POINT (-75.02990266 6.64442786),6.64442786,-75.02990266,1390.0,Medio (1.000-1.800 m)
POINT (-74.15824041 6.925159318),6.925159318,-74.15824041,106.0,Bajo (<1.000 m)
POINT (-74.85848326 7.474004006),7.474004006,-74.85848326,105.0,Bajo (<1.000 m)
POINT (-74.82771544 10.98152051),10.98152051,-74.82771544,62.0,Bajo (<1.000 m)
POINT (-74.92219491 10.79329302),10.79329302,-74.92219491,116.0,Bajo (<1.000 m)
POINT (-74.88466039 10.38405079),10.38405079,-74.88466039,6.0,Bajo (<1.000 m)
POINT (-74.87756627 10.48902047),10.48902047,-74.87756627,24.0,Bajo (<1.000 m)
POINT (-74.88708788 10.89771991),10.89771991,-74.88708788,91.0,Bajo (<1.000 m)
POINT (-75.07841904 10.82306503),10.82306503,-75.07841904,61.0,Bajo (<1.000 m)
POINT (-75.15402741 10.63503116),10.63503116,-75.15402741,137.0,Bajo (<1.000 m)
POINT (-74.80617555 10.84828864),10.84828864,-74.80617555,48.0,Bajo (<1.000 m)
POINT (-74.98477367 10.45414555),10.45414555,-74.98477367,5.0,Bajo (<1.000 m)
POINT (-74.7701509 10.69481208),10.69481208,-74.7701509,16.0,Bajo (<1.000 m)
POINT (-75.14366034 10.74078959),10.74078959,-75.14366034,59.0,Bajo (<1.000 m)
POINT (-74.85414844 10.76740141),10.76740141,-74.85414844,77.0,Bajo (<1.000 m)
POINT (-74.79847316 10.59465102),10.59465102,-74.79847316,26.0,Bajo (<1.000 m)
POINT (-74.9074058 11.0044226),11.0044226,-74.9074058,31.0,Bajo (<1.000 m)
POINT (-75.12188053 10.50757051),10.50757051,-75.12188053,17.0,Bajo (<1.000 m)
POINT (-74.7687966 10.79894015),10.79894015,-74.7687966,18.0,Bajo (<1.000 m)
POINT (-74.95510542 10.62250777),10.62250777,-74.95510542,104.0,Bajo (<1.000 m)
POINT (-74.96541179 10.35364192),10.35364192,-74.96541179,8.0,Bajo (<1.000 m)
POINT (-74.78726468 10.75562656),10.75562656,-74.78726468,23.0,Bajo (<1.000 m)
POINT (-74.7784249 10.9069066),10.9069066,-74.7784249,20.0,Bajo (<1.000 m)
POINT (-74.90713308 10.31085035),10.31085035,-74.90713308,6.0,Bajo (<1.000 m)
POINT (-74.98423293 10.90721938),10.90721938,-74.98423293,257.0,Bajo (<1.000 m)
POINT (-74.98267413 10.74052266),10.74052266,-74.98267413,125.0,Bajo (<1.000 m)
POINT (-74.1810727 4.316107698),4.316107698,-74.1810727,3536.0,Muy alto (>2.200 m)
POINT (-75.45889915 10.46343362),10.46343362,-75.45889915,4.0,Bajo (<1.000 m)
POINT (-74.47805945 8.622943262),8.622943262,-74.47805945,25.0,Bajo (<1.000 m)
POINT (-74.19515811 8.757468863),8.757468863,-74.19515811,22.0,Bajo (<1.000 m)
POINT (-74.10301905 8.362996158),8.362996158,-74.10301905,767.0,Bajo (<1.000 m)
POINT (-75.37121788 10.16422123),10.16422123,-75.37121788,63.0,Bajo (<1.000 m)
POINT (-75.02690422 10.24171805),10.24171805,-75.02690422,36.0,Bajo (<1.000 m)
POINT (-74.27966531 8.837077654),8.837077654,-74.27966531,17.0,Bajo (<1.000 m)
POINT (-74.99995949 10.15517098),10.15517098,-74.99995949,120.0,Bajo (<1.000 m)
POINT (-74.10014043 7.239229146),7.239229146,-74.10014043,277.0,Bajo (<1.000 m)
POINT (-74.68840962 9.235268598),9.235268598,-74.68840962,16.0,Bajo (<1.000 m)
POINT (-74.89445635 9.540047515),9.540047515,-74.89445635,23.0,Bajo (<1.000 m)
POINT (-75.31446653 10.55663696),10.55663696,-75.31446653,83.0,Bajo (<1.000 m)
POINT (-75.15793573 9.699819876),9.699819876,-75.15793573,275.0,Bajo (<1.000 m)
POINT (-74.92811072 10.03483672),10.03483672,-74.92811072,41.0,Bajo (<1.000 m)
POINT (-73.91230147 8.864818786),8.864818786,-73.91230147,25.0,Bajo (<1.000 m)
POINT (-74.09071902 8.981717133),8.981717133,-74.09071902,24.0,Bajo (<1.000 m)
POINT (-74.70539318 9.053135895),9.053135895,-74.70539318,10.0,Bajo (<1.000 m)
POINT (-75.17978161 10.17821391),10.17821391,-75.17978161,34.0,Bajo (<1.000 m)
POINT (-74.22584706 9.054601889),9.054601889,-74.22584706,23.0,Bajo (<1.000 m)
POINT (-75.34380265 9.976017168),9.976017168,-75.34380265,5.0,Bajo (<1.000 m)
POINT (-74.46342911 8.01710024),8.01710024,-74.46342911,216.0,Bajo (<1.000 m)
POINT (-74.54519906 9.142512064),9.142512064,-74.54519906,14.0,Bajo (<1.000 m)
POINT (-73.9713459 8.253700061),8.253700061,-73.9713459,159.0,Bajo (<1.000 m)
POINT (-74.11588912 8.50613476),8.50613476,-74.11588912,336.0,Bajo (<1.000 m)
POINT (-74.40888476 8.886315511),8.886315511,-74.40888476,19.0,Bajo (<1.000 m)
POINT (-73.91450679 8.672628558),8.672628558,-73.91450679,35.0,Bajo (<1.000 m)
POINT (-73.90298668 8.559982465),8.559982465,-73.90298668,32.0,Bajo (<1.000 m)
POINT (-75.07333835 10.36972087),10.36972087,-75.07333835,13.0,Bajo (<1.000 m)
POINT (-75.20523487 10.36468192),10.36468192,-75.20523487,50.0,Bajo (<1.000 m)
POINT (-74.37186647 9.081483143),9.081483143,-74.37186647,17.0,Bajo (<1.000 m)
POINT (-75.10609201 9.835362011),9.835362011,-75.10609201,266.0,Bajo (<1.000 m)
POINT (-74.75082 8.212463202),8.212463202,-74.75082,33.0,Bajo (<1.000 m)
POINT (-75.06571959 9.967957823),9.967957823,-75.06571959,313.0,Bajo (<1.000 m)
POINT (-74.00599967 8.816088444),8.816088444,-74.00599967,366.0,Bajo (<1.000 m)
POINT (-74.10356977000001 7.507922612),7.507922612,-74.10356977000001,434.0,Bajo (<1.000 m)
POINT (-75.26548463 10.64981278),10.64981278,-75.26548463,16.0,Bajo (<1.000 m)
