cod_municipio,nom_municipio,cod_departamento,nom_departamento,latitud,longitud
05842,URAMITA,05,ANTIOQUIA,6.913916924,-76.13318514
05847,URRAO,05,ANTIOQUIA,6.33534134,-76.25906482
05854,VALDIVIA,05,ANTIOQUIA,7.265404213,-75.40094502
05856,VALPARAÍSO,05,ANTIOQUIA,5.651937802,-75.63083412
05858,VEGACHÍ,05,ANTIOQUIA,6.836535122,-74.7540302
05861,VENECIA,05,ANTIOQUIA,5.956576355,-75.77722423
05873,VIGÍA DEL FUERTE,05,ANTIOQUIA,6.453351334,-76.69504802
05885,YALÍ,05,ANTIOQUIA,6.716870679,-74.75565002
05887,YARUMAL,05,ANTIOQUIA,6.9881309,-75.45439957
05890,YOLOMBÓ,05,ANTIOQUIA,6.64442786,-75.02990266
05893,YONDÓ,05,ANTIOQUIA,6.925159318,-74.15824041
05895,ZARAGOZA,05,ANTIOQUIA,7.474004006,-74.85848326
08001,BARRANQUILLA,08,ATLÁNTICO,10.98152051,-74.82771544
08078,BARANOA,08,ATLÁNTICO,10.79329302,-74.92219491
08137,CAMPO DE LA CRUZ,08,ATLÁNTICO,10.38405079,-74.88466039
08141,CANDELARIA,08,ATLÁNTICO,10.48902047,-74.87756627
08296,GALAPA,08,ATLÁNTICO,10.89771991,-74.88708788
08372,JUAN DE ACOSTA,08,ATLÁNTICO,10.82306503,-75.07841904
08421,LURUACO,08,ATLÁNTICO,10.63503116,-75.15402741
08433,MALAMBO,08,ATLÁNTICO,10.84828864,-74.80617555
08436,MANATÍ,08,ATLÁNTICO,10.45414555,-74.98477367
08520,PALMAR DE VARELA,08,ATLÁNTICO,10.69481208,-74.7701509
08549,PIOJÓ,08,ATLÁNTICO,10.74078959,-75.14366034
08558,POLONUEVO,08,ATLÁNTICO,10.76740141,-74.85414844
08560,PONEDERA,08,ATLÁNTICO,10.59465102,-74.79847316
08573,PUERTO COLOMBIA,08,ATLÁNTICO,11.0044226,-74.9074058
08606,REPELÓN,08,ATLÁNTICO,10.50757051,-75.12188053
08634,SABANAGRANDE,08,ATLÁNTICO,10.79894015,-74.7687966
08638,SABANALARGA,08,ATLÁNTICO,10.62250777,-74.95510542
08675,SANTA LUCÍA,08,ATLÁNTICO,10.35364192,-74.96541179
08685,SANTO TOMÁS,08,ATLÁNTICO,10.75562656,-74.78726468
08758,SOLEDAD,08,ATLÁNTICO,10.9069066,-74.7784249
08770,SUAN,08,ATLÁNTICO,10.31085035,-74.90713308
08832,TUBARÁ,08,ATLÁNTICO,10.90721938,-74.98423293
08849,USIACURÍ,08,ATLÁNTICO,10.74052266,-74.98267413
11001,"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",4.316107698,-74.1810727
13001,CARTAGENA DE INDIAS,13,BOLÍVAR,10.46343362,-75.45889915
13006,ACHÍ,13,BOLÍVAR,8.622943262,-74.47805945
13030,ALTOS DEL ROSARIO,13,BOLÍVAR,8.757468863,-74.19515811
13042,ARENAL,13,BOLÍVAR,8.362996158,-74.10301905
13052,ARJONA,13,BOLÍVAR,10.16422123,-75.37121788
13062,ARROYOHONDO,13,BOLÍVAR,10.24171805,-75.02690422
13074,BARRANCO DE LOBA,13,BOLÍVAR,8.837077654,-74.27966531
13140,CALAMAR,13,BOLÍVAR,10.15517098,-74.99995949
13160,CANTAGALLO,13,BOLÍVAR,7.239229146,-74.10014043
13188,CICUCO,13,BOLÍVAR,9.235268598,-74.68840962
13212,CÓRDOBA,13,BOLÍVAR,9.540047515,-74.89445635
13222,CLEMENCIA,13,BOLÍVAR,10.55663696,-75.31446653
13244,EL CARMEN DE BOLÍVAR,13,BOLÍVAR,9.699819876,-75.15793573
13248,EL GUAMO,13,BOLÍVAR,10.03483672,-74.92811072
13268,EL PEÑÓN,13,BOLÍVAR,8.864818786,-73.91230147
13300,HATILLO DE LOBA,13,BOLÍVAR,8.981717133,-74.09071902
13430,MAGANGUÉ,13,BOLÍVAR,9.053135895,-74.70539318
13433,MAHATES,13,BOLÍVAR,10.17821391,-75.17978161
13440,MARGARITA,13,BOLÍVAR,9.054601889,-74.22584706
13442,MARÍA LA BAJA,13,BOLÍVAR,9.976017168,-75.34380265
13458,MONTECRISTO,13,BOLÍVAR,8.01710024,-74.46342911
13468,SANTA CRUZ DE MOMPOX,13,BOLÍVAR,9.142512064,-74.54519906
13473,MORALES,13,BOLÍVAR,8.253700061,-73.9713459
13490,NOROSÍ,13,BOLÍVAR,8.50613476,-74.11588912
13549,PINILLOS,13,BOLÍVAR,8.886315511,-74.40888476
13580,REGIDOR,13,BOLÍVAR,8.672628558,-73.91450679
13600,RÍO VIEJO,13,BOLÍVAR,8.559982465,-73.90298668
13620,SAN CRISTÓBAL,13,BOLÍVAR,10.36972087,-75.07333835
13647,SAN ESTANISLAO,13,BOLÍVAR,10.36468192,-75.20523487
13650,SAN FERNANDO,13,BOLÍVAR,9.081483143,-74.37186647
13654,SAN JACINTO,13,BOLÍVAR,9.835362011,-75.10609201
13655,SAN JACINTO DEL CAUCA,13,BOLÍVAR,8.212463202,-74.75082
13657,SAN JUAN NEPOMUCENO,13,BOLÍVAR,9.967957823,-75.06571959
13667,SAN MARTÍN DE LOBA,13,BOLÍVAR,8.816088444,-74.00599967
13670,SAN PABLO,13,BOLÍVAR,7.507922612,-74.10356977000001
13673,SANTA CATALINA,13,BOLÍVAR,10.64981278,-75.26548463
13683,SANTA ROSA,13,BOLÍVAR,10.46920726,-75.36116053
13688,SANTA ROSA DEL SUR,13,BOLÍVAR,7.772519173,-74.26272843
13744,SIMITÍ,13,BOLÍVAR,7.851315534,-73.98371609
13760,SOPLAVIENTO,13,BOLÍVAR,10.33209031,-75.11699226
13780,TALAIGUA NUEVO,13,BOLÍVAR,9.269516705,-74.58695233
13810,TIQUISIO,13,BOLÍVAR,8.492345176,-74.29676139
13836,TURBACO,13,BOLÍVAR,10.35310756,-75.37971541
13838,TURBANÁ,13,BOLÍVAR,10.25276929,-75.43270299
13873,VILLANUEVA,13,BOLÍVAR,10.4449132,-75.26736275
13894,ZAMBRANO,13,BOLÍVAR,9.745147021,-74.88067037
15001,TUNJA,15,BOYACÁ,5.518472615,-73.37801856
15022,ALMEIDA,15,BOYACÁ,4.954825081,-73.38813425
15047,AQUITANIA,15,BOYACÁ,5.437416373,-72.87149471
15051,ARCABUCO,15,BOYACÁ,5.73526424,-73.42793109
15087,BELÉN,15,BOYACÁ,6.005059265,-72.89369887
15090,BERBEO,15,BOYACÁ,5.230936356,-73.12731944
15092,BETÉITIVA,15,BOYACÁ,5.920858933,-72.84857876
15097,BOAVITA,15,BOYACÁ,6.337515626,-72.62021239
15104,BOYACÁ,15,BOYACÁ,5.439856216,-73.38136994
15106,BRICEÑO,15,BOYACÁ,5.673229265,-73.92660705
15109,BUENAVISTA,15,BOYACÁ,5.489399419,-73.95066255
15114,BUSBANZÁ,15,BOYACÁ,5.843483731,-72.87574623
15131,CALDAS,15,BOYACÁ,5.575990669,-73.88057508
15135,CAMPOHERMOSO,15,BOYACÁ,5.006862536,-73.1446703
15162,CERINZA,15,BOYACÁ,5.962013698,-72.96447288
15172,CHINAVITA,15,BOYACÁ,5.202971639,-73.34048074
15176,CHIQUINQUIRÁ,15,BOYACÁ,5.622488024,-73.80424531
15180,CHISCAS,15,BOYACÁ,6.68911806,-72.41795675
15183,CHITA,15,BOYACÁ,6.091468485,-72.43903174
15185,CHITARAQUE,15,BOYACÁ,5.984394625,-73.42582375
15187,CHIVATÁ,15,BOYACÁ,5.556830465,-73.26061715
15189,CIÉNEGA,15,BOYACÁ,5.393059633,-73.28205772
15204,CÓMBITA,15,BOYACÁ,5.667822366,-73.32137049
15212,COPER,15,BOYACÁ,5.452461072,-74.05996578
15215,CORRALES,15,BOYACÁ,5.82454582,-72.84544845
15218,COVARACHÍA,15,BOYACÁ,6.519521476,-72.74020421
15223,CUBARÁ,15,BOYACÁ,6.886954878,-72.18156285
15224,CUCAITA,15,BOYACÁ,5.527104109,-73.44598646
15226,CUÍTIVA,15,BOYACÁ,5.58775449,-72.93953686
15232,CHÍQUIZA,15,BOYACÁ,5.643075648,-73.44562391
15236,CHIVOR,15,BOYACÁ,4.871181606,-73.36142379
15238,DUITAMA,15,BOYACÁ,5.890602515,-73.06709484
15244,EL COCUY,15,BOYACÁ,6.353363177,-72.41923752
15248,EL ESPINO,15,BOYACÁ,6.508240556,-72.48049625
15272,FIRAVITOBA,15,BOYACÁ,5.67367659,-73.01983352
15276,FLORESTA,15,BOYACÁ,5.85899211,-72.92499827
15293,GACHANTIVÁ,15,BOYACÁ,5.744105975,-73.5426552
15296,GÁMEZA,15,BOYACÁ,5.799050256,-72.72964765
15299,GARAGOA,15,BOYACÁ,5.089466651,-73.31430272
15317,GUACAMAYAS,15,BOYACÁ,6.445438546,-72.51635332
15322,GUATEQUE,15,BOYACÁ,5.01450831,-73.48812352
15325,GUAYATÁ,15,BOYACÁ,4.931424341,-73.49663372
15332,GÜICÁN DE LA SIERRA,15,BOYACÁ,6.566991765,-72.25599334
15362,IZA,15,BOYACÁ,5.617366016,-72.96986504
15367,JENESANO,15,BOYACÁ,5.38916272,-73.40087021
15368,JERICÓ,15,BOYACÁ,6.155633662,-72.58523093
15377,LABRANZAGRANDE,15,BOYACÁ,5.541378132,-72.5903846
15380,LA CAPILLA,15,BOYACÁ,5.113167102,-73.45923708
15401,LA VICTORIA,15,BOYACÁ,5.507008121,-74.24162727
15403,LA UVITA,15,BOYACÁ,6.265126191,-72.55551085
15407,VILLA DE LEYVA,15,BOYACÁ,5.665762424,-73.514948
15425,MACANAL,15,BOYACÁ,4.980176495,-73.29413695
15442,MARIPÍ,15,BOYACÁ,5.569810633,-74.02003127
15455,MIRAFLORES,15,BOYACÁ,5.150953297,-73.17896722
15464,MONGUA,15,BOYACÁ,5.710937981,-72.63402875
